,AAPL,MSFT,GOOGL,AMZN,TSLA,NVDA,META,NFLX,JPM,BAC,GS,MS,C,V,MA,PYPL,JNJ,PFE,MRK,UNH,ABBV,WMT,COST,PG,KO,PEP,MCD,TGT,XOM,CVX,COP,BA,CAT,GE,MMM,DIS,CMCSA,T,VZ,ORCL,ADBE,CRM,INTC,AMD
AAPL,1.0,0.5136494546090546,0.48586703663869096,0.5785278507518492,0.4730929362593776,0.4307404475735709,0.5214583959587311,0.3349322448215298,0.44112923360323175,0.48630744241156115,0.5192384428984683,0.5023353441777672,0.5041720918972726,0.4904915813270381,0.5108352653002938,0.46101677324211043,0.07874549813326896,0.2825010736102705,0.20740291259643695,0.01430991749007119,0.23867031113019602,0.45864508536961107,0.3897711041930054,0.2457525989654846,0.1347589126554537,0.22919340993755957,0.25814839126017236,0.41539996373380367,0.36744649507395327,0.4276435692775905,0.4292206974471415,0.4583996973955854,0.4759107961634549,0.38825449804239043,0.4831250947830629,0.4949745769318763,0.35458000541328233,0.13550091407080064,0.14796951578350076,0.1866600514679297,0.4105987502348138,0.4482867001988036,0.29637102345163446,0.45976462847053473
MSFT,0.5136494546090546,1.0,0.50282274804156,0.6653393269868676,0.4428998214106901,0.6220392687987242,0.667605096483593,0.4535335734299176,0.4743353656004378,0.3972534801874361,0.5244065427460739,0.5067967472771319,0.453880759006177,0.3576153587316621,0.41716008613890576,0.37367371523660003,-0.1428707808721885,0.07038404487539388,0.06367668546534039,0.015315065716270266,0.12033681241823624,0.3461950847856603,0.32520629089445846,-0.001896551903876725,-0.0830436864513882,-0.03751851642693008,0.0368782951035316,0.1865226277412631,0.17325512864912773,0.2591628875551069,0.2454049554985179,0.37791271183433944,0.5336680929190902,0.41902540221879747,0.40346346430538466,0.3809049475383594,0.33463084622568845,-0.0331772497266952,-0.08860608923001771,0.40602153813875247,0.34944605097139997,0.4779842119114733,0.26780938792210546,0.4928000555421585
GOOGL,0.48586703663869096,0.50282274804156,1.0,0.5966709421180398,0.4946853442955721,0.46754322560852135,0.5069383389204226,0.30828108859155456,0.38579691061537486,0.353962375362894,0.4555131569034354,0.4318944237612008,0.4088324375680594,0.34296013677413334,0.3264885933654149,0.31346031351317694,-0.1334593671496675,0.03745641744606665,-0.0002333284623375535,0.08637909911646101,0.015549708322181784,0.22862521722518497,0.17712826326005474,-0.0728189672766164,-0.11774790308180758,-0.10027793932987221,0.04691819495237186,0.2337678077644623,0.1381489737792213,0.18331633097858002,0.2124564091661151,0.35662927021826085,0.39324109831123005,0.3496325792400243,0.3004779676486404,0.2561123278498882,0.15962450716388554,-0.13397423781743548,-0.12719221616940654,0.27317376443816377,0.37289029731880907,0.3769876690626302,0.1992897435410154,0.4637970553212064
AMZN,0.5785278507518492,0.6653393269868676,0.5966709421180398,1.0,0.4811135605043222,0.5748684242888591,0.7344125029023295,0.42757982811637546,0.5383082386925011,0.5336392492628999,0.5916725963207187,0.5744930581117443,0.5585038807022262,0.44161498532636606,0.4620409193061531,0.4676439264904907,-0.16794859923461644,0.10055602625755718,0.07622425980868205,0.06517435347496893,0.10776553427420046,0.3781064345290777,0.3136174890724627,-0.005208490422862522,-0.15144673963677083,-0.0296183653179189,0.09715747858790898,0.37548129053411367,0.24762338169925038,0.3226235189722582,0.37545152054352426,0.4715979024894086,0.5531421213553502,0.4285434085926271,0.5077245957822913,0.4874522424596587,0.2800148979983484,-0.10033918276343871,-0.17712182027073275,0.31579759389659634,0.46048620601382634,0.5412984428642963,0.3382452633061726,0.4863132874626802
TSLA,0.4730929362593776,0.4428998214106901,0.4946853442955721,0.4811135605043222,1.0,0.44058632749008253,0.4535666186701878,0.32662936496612033,0.4708569551557269,0.4321509494234385,0.5509945948824885,0.522159123286451,0.46521394177121156,0.3992838276986942,0.35162423679089766,0.4164695686793523,-0.05831741638400595,0.10401066043149225,0.08352948427930479,0.03306892433341182,0.06774929896430526,0.31394917455694493,0.35126708834640946,0.049260603714951,-0.07835484987491556,-0.007738527299572973,0.04920895558909684,0.25574493955624134,0.18579150954984244,0.24151602281900156,0.3209011855379967,0.3857010856645203,0.4242051249513967,0.35490185666016627,0.3655826289317724,0.3750499419207948,0.26712708456754725,-0.0614540962592298,-0.11660256834854817,0.2914954197842231,0.27177498589189203,0.42661244237685353,0.25614348142624177,0.44080621354561167
NVDA,0.4307404475735709,0.6220392687987242,0.46754322560852135,0.5748684242888591,0.44058632749008253,1.0,0.5632110288979529,0.44811207855002466,0.42743812081149785,0.3899200048638394,0.5368338451112444,0.5471098145759475,0.4934159639898664,0.3133713954092755,0.2900723014456875,0.3442507921084653,-0.26974602141861165,0.0501042070324141,-0.014499328529272621,0.03473164654596819,0.03151416175106995,0.21158270684509037,0.1691184110816281,-0.1803352702112064,-0.1911270116210789,-0.1251577624394536,-0.05873444529619227,0.15903125713778596,0.19962324091720954,0.293133438587682,0.3291042084371794,0.385703194482672,0.4920681298107369,0.4733800981033762,0.3589004921666193,0.3764361652684669,0.16550360914479506,-0.14883646325320524,-0.20180926093978685,0.5426571882766041,0.32103478888702824,0.41704253856002665,0.32898239905537896,0.5785121390097517
META,0.5214583959587311,0.667605096483593,0.5069383389204226,0.7344125029023295,0.4535666186701878,0.5632110288979529,1.0,0.43751727260537965,0.45732863355806413,0.47744259450544174,0.548036240589949,0.5257894740709715,0.5289154081044148,0.3911061736205909,0.46456872694504137,0.4520723123829732,-0.17420191509635727,0.06436764183691632,0.06429682686139986,-2.3148394109827522e-05,0.13502409486073375,0.3896074675259976,0.4201505067177649,-0.03934459076878,-0.08012086479065667,-0.05532632298397378,0.031002198823868253,0.27860302932602937,0.19402983719774106,0.2676966268208157,0.2997674770159457,0.4700086695011237,0.45876604689036204,0.4609278895744835,0.4711890028409387,0.49524203312268184,0.2729466139871341,-0.03739163677292663,-0.16588112550476605,0.3216276612550617,0.4059451835332569,0.48238124339907507,0.262816023585264,0.5027709594087105
NFLX,0.3349322448215298,0.4535335734299176,0.30828108859155456,0.42757982811637546,0.32662936496612033,0.44811207855002466,0.43751727260537965,1.0,0.3574237147725872,0.33471555514982715,0.4406625688415932,0.43252229326425684,0.3782716571812573,0.37266347767295,0.37056975372357676,0.3216938416727188,-0.09443641823029437,-0.040834361358126924,-0.09644166981020522,-0.0355584945474004,0.012334664138983195,0.36240618344238335,0.3958523797466181,0.029114497826401044,0.06383756048124219,-0.026544310279287824,0.11825315456967217,0.052399295249641424,0.12043911660827761,0.10799001216704404,0.18592511146980598,0.3388836362486944,0.25550163371448675,0.4621014663963956,0.3293669563856253,0.34631427011699856,0.19808846239315533,0.11115317742711292,-0.06342304337716755,0.3094107913760149,0.3317868327808372,0.3950378945856889,0.15596498684580098,0.3594586621286109
JPM,0.44112923360323175,0.4743353656004378,0.38579691061537486,0.5383082386925011,0.4708569551557269,0.42743812081149785,0.45732863355806413,0.3574237147725872,1.0,0.8379110922594378,0.8785066340803626,0.8538104407443596,0.8126976060201321,0.6287146225413293,0.6137873752596138,0.48717732475573766,0.09047977108758179,0.14621426916529415,0.10918084486249202,0.0561255909214435,0.1824952424918861,0.42668161683897243,0.33907002411254916,0.12720355009936937,0.06174935157589274,0.07361778161062825,0.13220619320203938,0.2849700212380485,0.3773800738514809,0.4351613249298874,0.4559218358881405,0.43420875553547045,0.6624099932738756,0.5600762166441993,0.6322502251454358,0.5900945008269047,0.4481349429344484,0.22383006156914284,0.08739341154207571,0.3129938270421582,0.3627521033905618,0.4175598406611898,0.33770411864671956,0.3794897100990823
BAC,0.48630744241156115,0.3972534801874361,0.353962375362894,0.5336392492628999,0.4321509494234385,0.3899200048638394,0.47744259450544174,0.33471555514982715,0.8379110922594378,1.0,0.8252898673805874,0.8361328779721015,0.8401007221487226,0.5753264015555132,0.5939321504964797,0.5230087226872006,0.05069336376836726,0.20332375829570515,0.13302581146030035,0.0578089181982123,0.18648634846099305,0.3906803072545565,0.27992829309664546,0.11978975717920147,0.011160248623774927,0.0736298078042065,0.12266804480624652,0.3540888952759119,0.397345106554953,0.45920765865053276,0.4879520329274451,0.4283373459309706,0.6265901097865344,0.5025861039968822,0.6397127116070752,0.6260376316093691,0.4568185992770591,0.24977865924140136,0.08500036501606266,0.2590107588171109,0.3426934055256552,0.44644887976156106,0.30634354627619803,0.3418605218443466
