ticker,current_price,total_return_pct,annualized_return_pct,annualized_volatility_pct,sharpe_ratio,max_profit_potential,upward_runs,downward_runs,momentum_score,win_rate,sma5_signal,sma20_signal
AAPL,254.0399932861328,11.431318646198461,16.107135162942555,32.362869078657766,0.35865593791241057,159.71641737999713,59,60,-1,53.2,SELL,BUY
MSFT,522.4000244140625,26.568372007116754,26.86697915324425,24.707767248906055,0.9052610431334928,144.641995624453,69,69,0,56.00000000000001,SELL,BUY
GOOGL,241.52999877929688,49.6761788661783,45.99565378646927,32.224013940233455,1.2877245480166468,229.76283627806583,61,61,0,53.2,SELL,SELL
AMZN,227.74000549316406,22.0144725102258,25.726271362929793,33.538239095424785,0.6328976098755714,218.4356016949887,67,66,1,52.800000000000004,BUY,BUY
TSLA,435.5400085449219,82.40985079848066,85.71730827125485,71.29842107655092,1.1391179081519114,579.5116778590226,59,60,-1,50.0,SELL,BUY
NVDA,192.57000732421875,42.88644414594668,48.35872178594529,49.405479392896595,0.8877299102222899,291.1022922937157,68,68,0,54.0,BUY,BUY
META,733.510009765625,26.032660943274315,29.985228625724545,36.59531896688992,0.6964067904089762,225.68161437375983,63,62,1,50.8,BUY,SELL
NFLX,1231.0699462890625,68.57275648426993,58.302848973752454,33.077514534560095,1.626568674545909,288.97558568603563,60,60,0,54.800000000000004,BUY,BUY
JPM,305.5299987792969,46.58792307931645,42.299618915813895,26.858201537126845,1.4073771418969518,187.12157267547738,62,60,2,56.8,SELL,SELL
BAC,49.790000915527344,27.499930155223424,28.499113433598332,27.832745980280365,0.8622617923004013,169.89022940932028,59,58,1,52.800000000000004,SELL,SELL
GS,779.9600219726562,57.999447941945505,51.769876769703046,33.234748614803486,1.422302822794574,234.97483746588662,66,65,1,55.60000000000001,SELL,SELL
MS,156.27000427246094,48.9046044235436,45.73702285025117,33.0667987434997,1.2470824034140167,223.0355377723277,68,67,1,55.2,SELL,SELL
C,95.91999816894531,55.743326797381165,50.20194543128951,32.561356386334815,1.4035639329346081,238.97682876228572,61,63,-2,54.400000000000006,SELL,SELL
V,347.0400085449219,25.951318524018657,25.834098277851673,22.25138418175431,0.9587762317880971,156.63434245251716,66,66,0,55.60000000000001,SELL,BUY
MA,564.5499877929688,14.010212812953519,15.723312609835219,22.126630543301427,0.5072309852090394,136.13427230995993,67,67,0,55.2,SELL,SELL
PYPL,75.75,-4.089647024116053,2.665111987608599,36.92586895079347,-0.04969112615431023,185.76218160102712,73,73,0,52.0,BUY,BUY
JNJ,191.0800018310547,22.893788782693264,22.764170322630342,19.44584861145236,0.9392323620103633,119.08886247901084,65,64,1,55.60000000000001,BUY,BUY
PFE,25.239999771118164,-7.937831422732717,-4.89350667215252,26.455957027523365,-0.35506206267193513,131.4656921859127,65,66,-1,49.2,SELL,BUY
MRK,87.5,-17.056057023960797,-14.721481699701117,28.96176671452354,-0.6636847085044043,123.03553800235333,65,65,0,48.4,SELL,BUY
UNH,367.69000244140625,-37.14837209729357,-34.278655889713555,49.06668289101444,-0.7903256059890507,145.57397519501615,64,64,0,51.2,BUY,BUY
ABBV,230.69000244140625,22.943290928056157,25.179885230145683,28.9945159031396,0.7132343681553385,164.4207718986206,58,58,0,52.0,SELL,BUY
WMT,101.7699966430664,29.0821493800684,28.661858487760206,23.81091125859569,1.0147389247455965,168.57321382225962,57,57,0,54.800000000000004,SELL,SELL
COST,942.8900146484375,6.053823157425599,8.249055002844116,21.460039649484237,0.17469935116984808,132.4498415231517,60,59,1,49.6,BUY,BUY
PG,150.5800018310547,-8.61944435750422,-7.405900402483432,18.50453002961,-0.6434046356990546,100.53270385728781,64,64,0,53.2,SELL,SELL
KO,66.37000274658203,-1.2762676029964672,0.14893782669955485,17.06948336918245,-0.25490297973258724,101.04613066022372,65,64,1,48.0,SELL,BUY
PEP,144.7100067138672,-13.113980769065156,-11.732819649662206,22.385085394245678,-0.7251622838943926,103.49401500047367,74,73,1,47.599999999999994,BUY,BUY
MCD,293.80999755859375,-1.109263474239127,0.632469487613076,18.777818835130084,-0.20596271304691902,106.65792277567215,64,64,0,50.8,SELL,SELL
TGT,89.0999984741211,-40.66990869624546,-44.600790417925154,39.49275330806913,-1.2432860792183087,128.33233912312184,71,71,0,47.199999999999996,SELL,BUY
XOM,112.91000366210938,-4.992269043078619,-2.4440001094301618,23.354482126673794,-0.29733051119550347,118.55818054649214,59,59,0,52.0,SELL,SELL
