ticker,upward_runs_count,upward_total_days,upward_longest_streak,upward_avg_length,downward_runs_count,downward_total_days,downward_longest_streak,downward_avg_length,total_runs,momentum_score,analysis_date
AAPL,59,133,8,2.2542372881355934,60,115,8,1.9166666666666667,119,-1,2025-10-10 13:46:51
MSFT,69,140,8,2.028985507246377,69,109,5,1.5797101449275361,138,0,2025-10-10 13:46:51
GOOGL,61,133,10,2.180327868852459,61,116,6,1.901639344262295,122,0,2025-10-10 13:46:51
AMZN,67,132,6,1.9701492537313432,66,117,6,1.7727272727272727,133,1,2025-10-10 13:46:51
TSLA,59,125,7,2.1186440677966103,60,124,6,2.066666666666667,119,-1,2025-10-10 13:46:51
NVDA,68,135,6,1.9852941176470589,68,114,5,1.6764705882352942,136,0,2025-10-10 13:46:51
META,63,127,20,2.015873015873016,62,122,7,1.967741935483871,125,1,2025-10-10 13:46:51
NFLX,60,137,11,2.283333333333333,60,112,6,1.8666666666666667,120,0,2025-10-10 13:46:51
JPM,62,142,9,2.2903225806451615,60,106,6,1.7666666666666666,122,2,2025-10-10 13:46:51
BAC,59,132,7,2.23728813559322,58,113,6,1.9482758620689655,117,1,2025-10-10 13:46:51
GS,66,139,8,2.106060606060606,65,110,4,1.6923076923076923,131,1,2025-10-10 13:46:51
MS,68,138,11,2.0294117647058822,67,111,5,1.6567164179104477,135,1,2025-10-10 13:46:51
C,61,136,11,2.2295081967213113,63,111,5,1.7619047619047619,124,-2,2025-10-10 13:46:51
V,66,139,9,2.106060606060606,66,110,6,1.6666666666666667,132,0,2025-10-10 13:46:51
MA,67,138,6,2.0597014925373136,67,111,6,1.6567164179104477,134,0,2025-10-10 13:46:51
PYPL,73,130,9,1.7808219178082192,73,119,4,1.63013698630137,146,0,2025-10-10 13:46:51
JNJ,65,139,7,2.1384615384615384,64,110,6,1.71875,129,1,2025-10-10 13:46:51
PFE,65,123,6,1.8923076923076922,66,123,6,1.8636363636363635,131,-1,2025-10-10 13:46:52
MRK,65,121,6,1.8615384615384616,65,127,6,1.9538461538461538,130,0,2025-10-10 13:46:52
UNH,64,128,5,2.0,64,121,8,1.890625,128,0,2025-10-10 13:46:52
ABBV,58,130,8,2.2413793103448274,58,118,8,2.0344827586206895,116,0,2025-10-10 13:46:52
WMT,57,137,8,2.4035087719298245,57,112,10,1.9649122807017543,114,0,2025-10-10 13:46:52
COST,60,124,7,2.066666666666667,59,124,6,2.1016949152542375,119,1,2025-10-10 13:46:52
PG,64,133,11,2.078125,64,116,6,1.8125,128,0,2025-10-10 13:46:52
KO,65,120,7,1.8461538461538463,64,127,5,1.984375,129,1,2025-10-10 13:46:52
PEP,74,119,6,1.6081081081081081,73,129,10,1.7671232876712328,147,1,2025-10-10 13:46:52
MCD,64,127,5,1.984375,64,122,6,1.90625,128,0,2025-10-10 13:46:52
TGT,71,118,4,1.6619718309859155,71,131,6,1.8450704225352113,142,0,2025-10-10 13:46:52
XOM,59,130,8,2.2033898305084745,59,119,10,2.016949152542373,118,0,2025-10-10 13:46:52
CVX,59,137,8,2.3220338983050848,59,112,8,1.8983050847457628,118,0,2025-10-10 13:46:52
COP,62,126,6,2.032258064516129,63,123,6,1.9523809523809523,125,-1,2025-10-10 13:46:52
BA,63,134,6,2.126984126984127,63,115,7,1.8253968253968254,126,0,2025-10-10 13:46:52
CAT,60,126,7,2.1,60,123,6,2.05,120,0,2025-10-10 13:46:52
GE,61,144,10,2.360655737704918,61,105,4,1.721311475409836,122,0,2025-10-10 13:46:52
MMM,62,128,8,2.064516129032258,63,120,7,1.9047619047619047,125,-1,2025-10-10 13:46:52
DIS,71,120,9,1.6901408450704225,71,129,7,1.8169014084507042,142,0,2025-10-10 13:46:52
CMCSA,70,124,6,1.7714285714285714,70,122,6,1.7428571428571429,140,0,2025-10-10 13:46:52
T,65,138,8,2.123076923076923,64,110,6,1.71875,129,1,2025-10-10 13:46:52
VZ,63,121,6,1.9206349206349207,64,126,6,1.96875,127,-1,2025-10-10 13:46:52
ORCL,64,136,7,2.125,63,113,6,1.7936507936507937,127,1,2025-10-10 13:46:52
ADBE,63,123,7,1.9523809523809523,64,125,6,1.953125,127,-1,2025-10-10 13:46:52
CRM,66,128,5,1.9393939393939394,66,121,5,1.8333333333333333,132,0,2025-10-10 13:46:52
INTC,61,115,6,1.8852459016393444,60,132,7,2.2,121,1,2025-10-10 13:46:52
AMD,57,128,7,2.245614035087719,57,121,6,2.1228070175438596,114,0,2025-10-10 13:46:52
